Hostname,Total,wave_1
COMP00001.TESTLAB.LOCAL,500,500
COMP00017.TESTLAB.LOCAL,500,500
COMP00050.TESTLAB.LOCAL,500,500
COMP00034.TESTLAB.LOCAL,500,500
COMP00040.TESTLAB.LOCAL,500,500
COMP00061.TESTLAB.LOCAL,500,500
COMP00079.TESTLAB.LOCAL,500,500
COMP00082.TESTLAB.LOCAL,500,500
COMP00084.TESTLAB.LOCAL,500,500
COMP00088.TESTLAB.LOCAL,500,500
COMP00086.TESTLAB.LOCAL,500,500
COMP00108.TESTLAB.LOCAL,500,500
COMP00106.TESTLAB.LOCAL,500,500
COMP00104.TESTLAB.LOCAL,500,500
COMP00142.TESTLAB.LOCAL,500,500
COMP00129.TESTLAB.LOCAL,500,500
COMP00117.TESTLAB.LOCAL,500,500
COMP00138.TESTLAB.LOCAL,500,500
COMP00146.TESTLAB.LOCAL,500,500
COMP00161.TESTLAB.LOCAL,500,500
COMP00157.TESTLAB.LOCAL,500,500
COMP00166.TESTLAB.LOCAL,500,500
COMP00163.TESTLAB.LOCAL,500,500
COMP00173.TESTLAB.LOCAL,500,500
COMP00204.TESTLAB.LOCAL,500,500
COMP00164.TESTLAB.LOCAL,500,500
COMP00196.TESTLAB.LOCAL,500,500
COMP00199.TESTLAB.LOCAL,500,500
COMP00245.TESTLAB.LOCAL,500,500
COMP00247.TESTLAB.LOCAL,500,500
COMP00252.TESTLAB.LOCAL,500,500
COMP00255.TESTLAB.LOCAL,500,500
COMP00262.TESTLAB.LOCAL,500,500
COMP00261.TESTLAB.LOCAL,500,500
COMP00305.TESTLAB.LOCAL,500,500
COMP00290.TESTLAB.LOCAL,500,500
COMP00317.TESTLAB.LOCAL,500,500
COMP00272.TESTLAB.LOCAL,500,500
COMP00321.TESTLAB.LOCAL,500,500
COMP00330.TESTLAB.LOCAL,500,500
COMP00341.TESTLAB.LOCAL,500,500
COMP00350.TESTLAB.LOCAL,500,500
COMP00372.TESTLAB.LOCAL,500,500
COMP00370.TESTLAB.LOCAL,500,500
COMP00383.TESTLAB.LOCAL,500,500
COMP00398.TESTLAB.LOCAL,500,500
COMP00423.TESTLAB.LOCAL,500,500
COMP00439.TESTLAB.LOCAL,500,500
COMP00470.TESTLAB.LOCAL,500,500
COMP00468.TESTLAB.LOCAL,500,500
COMP00477.TESTLAB.LOCAL,500,500
COMP00480.TESTLAB.LOCAL,500,500
COMP00485.TESTLAB.LOCAL,500,500
COMP00486.TESTLAB.LOCAL,500,500
COMP00490.TESTLAB.LOCAL,500,500
COMP00113.TESTLAB.LOCAL,11,11
COMP00230.TESTLAB.LOCAL,11,11
COMP00407.TESTLAB.LOCAL,5,5
COMP00346.TESTLAB.LOCAL,3,3
COMP00002.TESTLAB.LOCAL,0,0
COMP00006.TESTLAB.LOCAL,0,0
COMP00003.TESTLAB.LOCAL,0,0
COMP00007.TESTLAB.LOCAL,0,0
COMP00004.TESTLAB.LOCAL,0,0
COMP00008.TESTLAB.LOCAL,0,0
COMP00009.TESTLAB.LOCAL,0,0
COMP00011.TESTLAB.LOCAL,0,0
COMP00005.TESTLAB.LOCAL,0,0
COMP00010.TESTLAB.LOCAL,0,0
COMP00013.TESTLAB.LOCAL,0,0
COMP00012.TESTLAB.LOCAL,0,0
