Hostname,Total
CTXPLICENSE1.AD.ADELAIDE.EDU.AU,0,0
ADDC101N.AD.ADELAIDE.EDU.AU,0,0
ADDC201N.AD.ADELAIDE.EDU.AU,0,0
DIAVEL.AD.ADELAIDE.EDU.AU,0,0
PSQLC01H02L01.AD.ADELAIDE.EDU.AU,0,0
PRDSQLTC2012.AD.ADELAIDE.EDU.AU,0,0
SQLCLUSTER2008.AD.ADELAIDE.EDU.AU,0,0
PSQLC01H01L01.AD.ADELAIDE.EDU.AU,0,0
PRINTDEV01CM.AD.ADELAIDE.EDU.AU,0,0
WINDEVCLUSTER.AD.ADELAIDE.EDU.AU,0,0
DEVSQLTC2012.AD.ADELAIDE.EDU.AU,0,0
USQLC01.AD.ADELAIDE.EDU.AU,0,0
Z350.AD.ADELAIDE.EDU.AU,0,0
GTRXU1.AD.ADELAIDE.EDU.AU,0,0
SCUDERIA.AD.ADELAIDE.EDU.AU,0,0
ITSDMS033.AD.ADELAIDE.EDU.AU,0,0
ITSOSS002.AD.ADELAIDE.EDU.AU,0,0
SNOWY.AD.ADELAIDE.EDU.AU,0,0
ITSOSS001.AD.ADELAIDE.EDU.AU,0,0
ITSDMS050.AD.ADELAIDE.EDU.AU,0,0
SPYKER.AD.ADELAIDE.EDU.AU,0,0
S281.AD.ADELAIDE.EDU.AU,0,0
STERLING.AD.ADELAIDE.EDU.AU,0,0
S251.AD.ADELAIDE.EDU.AU,0,0
NATHAN.AD.ADELAIDE.EDU.AU,0,0
MERV.AD.ADELAIDE.EDU.AU,0,0
RX7.AD.ADELAIDE.EDU.AU,0,0
CHARGER.AD.ADELAIDE.EDU.AU,0,0
OSSDEV9GAWLER.AD.ADELAIDE.EDU.AU,0,0
GILROYX16.AD.ADELAIDE.EDU.AU,0,0
QUATTRO.AD.ADELAIDE.EDU.AU,0,0
MAYBACH.AD.ADELAIDE.EDU.AU,0,0
GT600RE.AD.ADELAIDE.EDU.AU,0,0
GHIBLI.AD.ADELAIDE.EDU.AU,0,0
SOARER.AD.ADELAIDE.EDU.AU,0,0
GX3.AD.ADELAIDE.EDU.AU,0,0
TWINGO.AD.ADELAIDE.EDU.AU,0,0
SUPERBEE.AD.ADELAIDE.EDU.AU,0,0
DEMON.AD.ADELAIDE.EDU.AU,0,0
SLOTH.AD.ADELAIDE.EDU.AU,0,0
TRIBECA.AD.ADELAIDE.EDU.AU,0,0
SUPERBIRD.AD.ADELAIDE.EDU.AU,0,0
CTXPLICENSE2.AD.ADELAIDE.EDU.AU,0,0
TRUMPET.AD.ADELAIDE.EDU.AU,0,0
P2K3PRT6450001.AD.ADELAIDE.EDU.AU,0,0
,0,0
P2K3APP6350007.AD.ADELAIDE.EDU.AU,0,0
BENDER.AD.ADELAIDE.EDU.AU,0,0
EUROACCORD.AD.ADELAIDE.EDU.AU,0,0
SA-25.AD.ADELAIDE.EDU.AU,0,0
RA-AIR.AD.ADELAIDE.EDU.AU,0,0
GURNEY.AD.ADELAIDE.EDU.AU,0,0
RX2.AD.ADELAIDE.EDU.AU,0,0
SPIDER-VM.AD.ADELAIDE.EDU.AU,0,0
PSQLC01.AD.ADELAIDE.EDU.AU,0,0
CORNICHE.AD.ADELAIDE.EDU.AU,0,0
SCCMP05PRI.AD.ADELAIDE.EDU.AU,0,0
STIG.AD.ADELAIDE.EDU.AU,0,0
LL32350P.AD.ADELAIDE.EDU.AU,0,0
LIB1.AD.ADELAIDE.EDU.AU,0,0
P2K3APP017.AD.ADELAIDE.EDU.AU,0,0
LL34107R.AD.ADELAIDE.EDU.AU,0,0
RAPIDE.AD.ADELAIDE.EDU.AU,0,0
MIGLIA.AD.ADELAIDE.EDU.AU,0,0
LL32350G.AD.ADELAIDE.EDU.AU,0,0
VANQUISH-VM.AD.ADELAIDE.EDU.AU,0,0
SAHIN.AD.ADELAIDE.EDU.AU,0,0
CAYMAN.AD.ADELAIDE.EDU.AU,0,0
GARLA.AD.ADELAIDE.EDU.AU,0,0
P2K8APP008.AD.ADELAIDE.EDU.AU,0,0
P2K3WEB010.AD.ADELAIDE.EDU.AU,0,0
LJL11D1S.AD.ADELAIDE.EDU.AU,0,0
DL3A9042XPSEQ.AD.ADELAIDE.EDU.AU,0,0
P2K3PRT6450002.AD.ADELAIDE.EDU.AU,0,0
UNIVERSI-025AB3.AD.ADELAIDE.EDU.AU,0,0
DL3A0942SEQ.AD.ADELAIDE.EDU.AU,0,0
L1A1.AD.ADELAIDE.EDU.AU,0,0
LINDSAY-VM-RH-6.AD.ADELAIDE.EDU.AU,0,0
W7MIGRATE01.AD.ADELAIDE.EDU.AU,0,0
DL3BWH55.AD.ADELAIDE.EDU.AU,0,0
DL3AD4PPP.AD.ADELAIDE.EDU.AU,0,0
DL3BWG85.AD.ADELAIDE.EDU.AU,0,0
LCNU432F249.AD.ADELAIDE.EDU.AU,0,0
BASE_VM.AD.ADELAIDE.EDU.AU,0,0
ITSDMS_CSTEST.AD.ADELAIDE.EDU.AU,0,0
VDI1ICS02.AD.ADELAIDE.EDU.AU,0,0
COREVM.AD.ADELAIDE.EDU.AU,0,0
PACKARD.AD.ADELAIDE.EDU.AU,0,0
FIORANO.AD.ADELAIDE.EDU.AU,0,0
MRSLATE.AD.ADELAIDE.EDU.AU,0,0
TAIPAN.AD.ADELAIDE.EDU.AU,0,0
VDI1ECS02.AD.ADELAIDE.EDU.AU,0,0
L39RT0Z.AD.ADELAIDE.EDU.AU,0,0
HAMANN.AD.ADELAIDE.EDU.AU,0,0
DVM293102738.AD.ADELAIDE.EDU.AU,0,0
LCNU4180MYT.AD.ADELAIDE.EDU.AU,0,0
D94210334-VM.AD.ADELAIDE.EDU.AU,0,0
APPVTEST.AD.ADELAIDE.EDU.AU,0,0
W2K3-STD-X86-UP.AD.ADELAIDE.EDU.AU,0,0
P2K3WEB035.AD.ADELAIDE.EDU.AU,0,0
P2K3PRT6450004.AD.ADELAIDE.EDU.AU,0,0
P2K3MMCN029.AD.ADELAIDE.EDU.AU,0,0
W2K3-STD-X64-UP.AD.ADELAIDE.EDU.AU,0,0
SEQUENCERVM9.AD.ADELAIDE.EDU.AU,0,0
UNIVADEL-FCA3E5.AD.ADELAIDE.EDU.AU,0,0
MACINTOSH_001B6.AD.ADELAIDE.EDU.AU,0,0
OCW542098.AD.ADELAIDE.EDU.AU,0,0
SEQUENCERVM13.AD.ADELAIDE.EDU.AU,0,0
VIRTUALXP-52160.AD.ADELAIDE.EDU.AU,0,0
P2K3APP020.AD.ADELAIDE.EDU.AU,0,0
DL3B7890-VM.AD.ADELAIDE.EDU.AU,0,0
P2K8CAVA001.AD.ADELAIDE.EDU.AU,0,0
BOOBOO.AD.ADELAIDE.EDU.AU,0,0
WINDOWS7RC1X32.AD.ADELAIDE.EDU.AU,0,0
SEQUENCERDL3A91.AD.ADELAIDE.EDU.AU,0,0
DL3B7890-VM2.AD.ADELAIDE.EDU.AU,0,0
DL3AAF2L-VM.AD.ADELAIDE.EDU.AU,0,0
W8MIGRATE02.AD.ADELAIDE.EDU.AU,0,0
VDI1VCENTER.AD.ADELAIDE.EDU.AU,0,0
DAUB3342590.AD.ADELAIDE.EDU.AU,0,0
W8MIGRATE.AD.ADELAIDE.EDU.AU,0,0
W2K8MIGRATE03.AD.ADELAIDE.EDU.AU,0,0
DL3AM5WC.AD.ADELAIDE.EDU.AU,0,0
DL3AM5WA.AD.ADELAIDE.EDU.AU,0,0
P-51A.AD.ADELAIDE.EDU.AU,0,0
P2K3APP021.AD.ADELAIDE.EDU.AU,0,0
P2K8KMS007.AD.ADELAIDE.EDU.AU,0,0
LL3K1762.AD.ADELAIDE.EDU.AU,0,0
LL3AFV3G-VM.AD.ADELAIDE.EDU.AU,0,0
P2K3APP6450006.AD.ADELAIDE.EDU.AU,0,0
P2K3WEB6450006.AD.ADELAIDE.EDU.AU,0,0
USCSTU047A.AD.ADELAIDE.EDU.AU,0,0
DANLAB04.AD.ADELAIDE.EDU.AU,0,0
WINTEST2.AD.ADELAIDE.EDU.AU,0,0
U2K3APP013.AD.ADELAIDE.EDU.AU,0,0
P2K3WEB036.AD.ADELAIDE.EDU.AU,0,0
$DUPLICATE-29D06.AD.ADELAIDE.EDU.AU,0,0
LR838FDL.AD.ADELAIDE.EDU.AU,0,0
KIZASHI.AD.ADELAIDE.EDU.AU,0,0
DL3ABG0P-VM.AD.ADELAIDE.EDU.AU,0,0
LAWCRTXXX.AD.ADELAIDE.EDU.AU,0,0
P2K3PRT6450003.AD.ADELAIDE.EDU.AU,0,0
DL3A9137SEQUENC.AD.ADELAIDE.EDU.AU,0,0
P2K8CAVA007.AD.ADELAIDE.EDU.AU,0,0
MUDMAN.AD.ADELAIDE.EDU.AU,0,0
PANAMERA.AD.ADELAIDE.EDU.AU,0,0
FATBOY.AD.ADELAIDE.EDU.AU,0,0
SCIEES044.AD.ADELAIDE.EDU.AU,0,0
DL3ABH8P-VM.AD.ADELAIDE.EDU.AU,0,0
D84001771_VMOSX.AD.ADELAIDE.EDU.AU,0,0
SDGWEB01.AD.ADELAIDE.EDU.AU,0,0
DL3A9795.AD.ADELAIDE.EDU.AU,0,0
LL3A1177.AD.ADELAIDE.EDU.AU,0,0
GST016-VM.AD.ADELAIDE.EDU.AU,0,0
DL3A9397.AD.ADELAIDE.EDU.AU,0,0
GST015-VM.AD.ADELAIDE.EDU.AU,0,0
SUNION005.AD.ADELAIDE.EDU.AU,0,0
ADELAIDEUNIQM.AD.ADELAIDE.EDU.AU,0,0
RAPTOR.AD.ADELAIDE.EDU.AU,0,0
HURRICANE.AD.ADELAIDE.EDU.AU,0,0
EASTER.AD.ADELAIDE.EDU.AU,0,0
LW80316G7ATN.AD.ADELAIDE.EDU.AU,0,0
P2K3WEB031.AD.ADELAIDE.EDU.AU,0,0
D90900202_OSXVM.AD.ADELAIDE.EDU.AU,0,0
D91402648_VM.AD.ADELAIDE.EDU.AU,0,0
LW80316G7ATN-VM.AD.ADELAIDE.EDU.AU,0,0
LEES_IMAC.AD.ADELAIDE.EDU.AU,0,0
